date,index_canada,index_mexico,index_china,index_usa
01oct2024,1,1,1,1
02oct2024,1.0002756,.99841869,1.0001626,.999825
03oct2024,1.0003735,.99717474,1.0008264,.99988842
04oct2024,.99980557,.99767327,.99990684,1.0003285
05oct2024,.99852926,1.000093,1.002883,1.0010597
06oct2024,.99898469,.99966425,1.0019301,.99886835
07oct2024,.99958968,.99954289,1.0020746,.99849576
08oct2024,.99994302,.99498671,1.0000807,.99811614
09oct2024,.99935222,.9940955,.99893856,.99784476
10oct2024,.99893844,.99491853,.99945599,.99750566
11oct2024,.99988872,.99492365,.99661207,.99724138
12oct2024,.99937999,.99503088,.99693298,.99778372
13oct2024,.9997189,.99518865,.99704933,.99780476
14oct2024,.99934113,.99627298,.99724257,.99742436
15oct2024,.99943417,.99645436,.99677706,.99739188
16oct2024,.99956346,.99690205,.99707794,.99771005
17oct2024,.99836344,.99983239,.99778575,.99828166
18oct2024,.99687618,1.0000874,.99789137,.99805146
19oct2024,.99662364,.99948245,.99769741,.99772316
20oct2024,.99602646,.9979527,.9975515,.99863136
21oct2024,.99563837,1.0002477,.99809617,.99853992
22oct2024,.99536312,1.0002623,.99760658,.99852693
23oct2024,.99507928,1.0001053,.9970938,.99850953
24oct2024,.99562991,1.0003058,.99740726,.99847519
25oct2024,.99555856,.99659973,.99607033,.99756241
26oct2024,.9939732,.99272054,.99515539,.996782
27oct2024,.99391419,.99137557,.99478889,.99658018
28oct2024,.99384689,.99957108,.99530512,.99771762
29oct2024,.99356747,.99826896,.99591225,.9978112
30oct2024,.99406576,.99695796,.99625832,.99816054
31oct2024,.99392617,.99636841,.99612123,.99824715
01nov2024,.99396515,.99458039,.99601877,.9983685
02nov2024,.99449432,.99287963,.99595481,.99868447
03nov2024,.99536425,.99318892,.99480283,.9983139
04nov2024,.99524486,.9928003,.99508178,.99815625
05nov2024,.99526417,.991588,.99488223,.99754649
06nov2024,.99536943,.98720759,.9948597,.99727738
07nov2024,.99517417,.98412949,.99449658,.99722642
08nov2024,.99338722,.98280078,.99374825,.99637496
09nov2024,.99084204,.98337454,.99328536,.99607831
10nov2024,.99173915,.98398727,.99259824,.99601728
11nov2024,.99218178,.98476791,.99220222,.99589151
12nov2024,.99206567,.98343331,.99280238,.99654794
13nov2024,.99137729,.98288882,.99373877,.99715239
14nov2024,.99172533,.98273033,.99452561,.99745512
15nov2024,.99173951,.98178285,.99263608,.99669093
16nov2024,.99236667,.98147678,.99200219,.99606496
