country_sector,country,icio_sector,model_sector,mapping_version
AGO_A01,AGO,A01,energy_primary,v1_rule_based
AGO_A02,AGO,A02,energy_primary,v1_rule_based
AGO_A03,AGO,A03,energy_primary,v1_rule_based
AGO_B05,AGO,B05,energy_primary,v1_rule_based
AGO_B06,AGO,B06,energy_primary,v1_rule_based
AGO_B07,AGO,B07,energy_primary,v1_rule_based
AGO_B08,AGO,B08,energy_primary,v1_rule_based
AGO_B09,AGO,B09,energy_primary,v1_rule_based
AGO_C10T12,AGO,C10T12,retail_consumer,v1_rule_based
AGO_C13T15,AGO,C13T15,retail_consumer,v1_rule_based
AGO_C16,AGO,C16,manufacturing_other,v1_rule_based
AGO_C17_18,AGO,C17_18,manufacturing_other,v1_rule_based
AGO_C19,AGO,C19,manufacturing_other,v1_rule_based
AGO_C20,AGO,C20,manufacturing_other,v1_rule_based
AGO_C21,AGO,C21,pharma,v1_rule_based
AGO_C22,AGO,C22,manufacturing_other,v1_rule_based
AGO_C23,AGO,C23,manufacturing_other,v1_rule_based
AGO_C24A,AGO,C24A,steel_aluminum,v1_rule_based
AGO_C24B,AGO,C24B,steel_aluminum,v1_rule_based
AGO_C25,AGO,C25,steel_aluminum,v1_rule_based
AGO_C26,AGO,C26,manufacturing_other,v1_rule_based
AGO_C27,AGO,C27,manufacturing_other,v1_rule_based
AGO_C28,AGO,C28,manufacturing_other,v1_rule_based
AGO_C29,AGO,C29,manufacturing_other,v1_rule_based
AGO_C301,AGO,C301,manufacturing_other,v1_rule_based
AGO_C302T309,AGO,C302T309,manufacturing_other,v1_rule_based
AGO_C31T33,AGO,C31T33,retail_consumer,v1_rule_based
AGO_D,AGO,D,energy_primary,v1_rule_based
AGO_E,AGO,E,energy_primary,v1_rule_based
AGO_F,AGO,F,services_other,v1_rule_based
AGO_G,AGO,G,retail_consumer,v1_rule_based
AGO_H49,AGO,H49,services_other,v1_rule_based
AGO_H50,AGO,H50,services_other,v1_rule_based
AGO_H51,AGO,H51,services_other,v1_rule_based
AGO_H52,AGO,H52,services_other,v1_rule_based
AGO_H53,AGO,H53,services_other,v1_rule_based
AGO_I,AGO,I,retail_consumer,v1_rule_based
AGO_J58T60,AGO,J58T60,services_other,v1_rule_based
AGO_J61,AGO,J61,services_other,v1_rule_based
AGO_J62_63,AGO,J62_63,services_other,v1_rule_based
AGO_K,AGO,K,services_other,v1_rule_based
AGO_L,AGO,L,services_other,v1_rule_based
AGO_M,AGO,M,services_other,v1_rule_based
AGO_N,AGO,N,services_other,v1_rule_based
AGO_O,AGO,O,services_other,v1_rule_based
AGO_P,AGO,P,services_other,v1_rule_based
AGO_Q,AGO,Q,services_other,v1_rule_based
AGO_R,AGO,R,services_other,v1_rule_based
AGO_S,AGO,S,services_other,v1_rule_based
AGO_T,AGO,T,services_other,v1_rule_based
ARE_A01,ARE,A01,energy_primary,v1_rule_based
ARE_A02,ARE,A02,energy_primary,v1_rule_based
ARE_A03,ARE,A03,energy_primary,v1_rule_based
ARE_B05,ARE,B05,energy_primary,v1_rule_based
ARE_B06,ARE,B06,energy_primary,v1_rule_based
ARE_B07,ARE,B07,energy_primary,v1_rule_based
ARE_B08,ARE,B08,energy_primary,v1_rule_based
ARE_B09,ARE,B09,energy_primary,v1_rule_based
ARE_C10T12,ARE,C10T12,retail_consumer,v1_rule_based
ARE_C13T15,ARE,C13T15,retail_consumer,v1_rule_based
ARE_C16,ARE,C16,manufacturing_other,v1_rule_based
ARE_C17_18,ARE,C17_18,manufacturing_other,v1_rule_based
ARE_C19,ARE,C19,manufacturing_other,v1_rule_based
ARE_C20,ARE,C20,manufacturing_other,v1_rule_based
ARE_C21,ARE,C21,pharma,v1_rule_based
ARE_C22,ARE,C22,manufacturing_other,v1_rule_based
ARE_C23,ARE,C23,manufacturing_other,v1_rule_based
ARE_C24A,ARE,C24A,steel_aluminum,v1_rule_based
ARE_C24B,ARE,C24B,steel_aluminum,v1_rule_based
