iso3,trade_value_usd,weight
ESP,4398147747.722,0.10861627235381614
DEU,3674407875.47,0.0907428557277933
CAN,3567285192.349,0.0880973633085883
JPN,3431217771.871,0.08473705418555476
BEL,3323948475.972,0.0820879410299991
GBR,2541235741.769,0.0627581357598086
CHN,2510436287.0,0.06199751511688649
FRA,2355976935.285,0.058183000467586725
BRA,1168636393.0,0.028860542215848394
MEX,1037468775.0,0.025621238186540045
CHE,973183589.338,0.02403365686033382
KOR,934753365.0,0.023084587399109728
AUS,881573385.069,0.021771259262976118
NLD,802721407.685,0.019823937721626467
SAU,694506530.904,0.017151472583258248
IRL,622349742.746,0.015369494849835061
S19,491052470.23,0.012126988883932141
POL,475807248.0,0.01175049420826196
TUR,443879179.0,0.010962001406938579
COL,418943512.97,0.010346192378185261
KWT,356928843.0,0.008814683509052268
AUT,341390976.633,0.00843096171935355
ITA,323669110.647,0.007993304065958391
SGP,321211974.839,0.007932622854812114
EGY,308914928.204,0.007628936065948203
CZE,226487259.0,0.005593309551948284
THA,226247896.53,0.005587398277310849
IND,220446773.842,0.0054441342584601714
QAT,200849442.158,0.0049601602681139155
HKG,197823686.208,0.004885436463641544
CHL,175182445.037,0.004326290350659891
NOR,171895344.373,0.004245112399973637
ISR,160556000.0,0.003965076942463279
SVN,154512662.317,0.0038158312032670937
ARG,153607164.51,0.0037934691085712443
PHL,146156625.0,0.0036094712360531657
CRI,137263676.63,0.0033898517604035268
ZAF,135070548.196,0.00333569045228976
MYS,116368499.378,0.0028738262893492628
DOM,99825961.013,0.0024652932078021656
KAZ,98838924.75,0.0024409174465238803
FIN,97476639.593,0.002407274571358326
SVK,81345274.127,0.002008895779786009
NZL,80843370.793,0.001996500818918842
LBN,73085705.0,0.0018049181825604348
IDN,70113026.0,0.0017315051618060264
UKR,65191330.39,0.0016099593972065487
JOR,61499660.308,0.0015187902355351087
BGR,59566113.439,0.0014710395310616293
BHR,57082488.058,0.0014097041357358881
SLV,55023898.31,0.0013588653832521064
PER,53974500.782,0.0013329495536241213
SWE,53056513.457,0.0013102790188834013
ECU,52400573.529,0.0012940799837545128
GTM,51323710.0,0.0012674858561665214
URY,37714636.0,0.0009313973541754622
MAR,36742427.382,0.0009073877751220735
HND,36735842.89,0.0009072251650831647
PAN,32602368.0,0.0008051452304896899
MAC,28821452.196,0.0007117720642683378
NIC,22660124.8,0.0005596124614328977
UZB,19398714.0,0.0004790689453825432
BHS,17768933.0,0.00043882001625896794
TTO,17603720.35,0.00043473993909512324
NGA,15320526.722,0.0003783543888225586
LTU,14637840.0,0.0003614948172068729
SRB,14043334.0,0.0003468129489941865
KEN,13940462.942,0.00034427245433735275
GRC,13677914.152,0.00033778857236781796
PRY,13379377.393,0.00033041593466141876
ZMB,12626314.664,0.00031181836332813716
LKA,11946820.221,0.0002950376279556115
ROU,11546236.88,0.00028514485677961056
LUX,11314171.601,0.00027941379293329395
CYM,10956129.385,0.000270571613661949
EST,9698602.77,0.0002395158462931157
MDA,8947766.0,0.00022097324704873616
BMU,8783040.69,0.00021690520519093506
ISL,8711441.691,0.00021513700256980378
DNK,8514762.74,0.00021027983638680244
MKD,6779013.33,0.00016741392067212818
TUN,6523589.243,0.00016110598974514048
HRV,6502928.0,0.0001605957414939264
GUY,6316621.343,0.00015599472857694968
BIH,6063307.694,0.00014973891684234533
PAK,5441499.88,0.0001343828054174537
BRB,5207586.5,0.000128606101030376
MOZ,4765188.0,0.00011768066634260139
ARM,4608597.67,0.00011381352523983527
KHM,4204930.58,0.00010384459806806811
BRN,4023924.528,9.93744884288674e-05
PYF,3704842.258,9.149446057861052e-05
MWI,3655647.235,9.027954459053626e-05
ALB,3642006.31,8.994266949903317e-05
BEN,3393389.157,8.38028420191435e-05
BOL,3369472.0,8.32121860003714e-05
MUS,3296383.803,8.140720627559677e-05
GEO,2929742.714,7.235266998823582e-05
GRD,2924577.19,7.222510265902892e-05
TGO,2844431.81,7.024583935972553e-05
TZA,2672126.63,6.599060569492952e-05
ATG,2623445.101,6.478837090979687e-05
PRT,2147357.844,5.303096162374535e-05
FJI,2089204.677,5.1594816094441456e-05
NAM,2027776.636,5.007779456307677e-05
CAF,1892923.26,4.67474673763573e-05
BFA,1890537.647,4.668855248622588e-05
UGA,1722675.53,4.254304431692811e-05
HUN,1700900.754,4.200529635207533e-05
MMR,1652819.64,4.081788936330288e-05
BLZ,1598548.645,3.9477617614386366e-05
MDV,1476813.346,3.6471253310661974e-05
MNE,1468285.592,3.6260652643253726e-05
ZWE,1407565.172,3.476110645825481e-05
CYP,963515.603,2.379489711476932e-05
CIV,673883.671,1.6642172237628058e-05
NER,551256.165,1.3613774067815796e-05
AZE,536281.95,1.324397216301007e-05
KGZ,444899.0,1.0987186817216238e-05
MLT,370990.232,9.161942342748341e-06
LVA,361332.449,8.923434577927257e-06
MDG,324070.067,8.003206049006141e-06
SYC,283754.575,7.007578182384758e-06
SUR,190408.802,4.702319131345175e-06
WSM,105781.34,2.6123667267300416e-06
MSR,92865.392,2.293395603851702e-06
LSO,80054.823,1.9770269115466194e-06
AGO,56581.45,1.3973305436491871e-06
SEN,52686.314,1.3011366054509345e-06
GMB,10199.611,2.51888701750136e-07
MRT,6205.006,1.5323828582205774e-07
CPV,1186.187,2.9293970472294336e-08
