rank,country,iso3,import_value_usd,import_share_pct,tariff_pct,post_tariff_share_pct,delta_share_pp
1,Ireland,IRL,54669261444,25.9358,20.00,26.2323,0.2965
2,Switzerland,CHE,19196319148,9.1070,31.00,7.5284,-1.5786
3,Singapore,SGP,16586666178,7.8689,10.00,9.7222,1.8533
4,Germany,DEU,16243482890,7.7061,20.00,7.7942,0.0881
5,Belgium,BEL,12331378119,5.8502,20.00,5.9170,0.0669
6,India,IND,12307092192,5.8386,27.00,5.1834,-0.6552
7,Italy,ITA,11179253984,5.3036,20.00,5.3642,0.0606
8,Japan,JPN,7340352158,3.4824,24.00,3.2663,-0.2160
9,China,CHN,6935219830,3.2902,54.00,1.8749,-1.4153
10,United Kingdom,GBR,6934121731,3.2896,10.00,4.0644,0.7748
11,Netherlands,NLD,6687200791,3.1725,20.00,3.2088,0.0363
12,Slovenia,SVN,5161253351,2.4486,20.00,2.4766,0.0280
13,Canada,CAN,5109183627,2.4239,10.00,2.9947,0.5709
14,Hungary,HUN,4274863918,2.0280,20.00,2.0512,0.0232
15,France,FRA,3909146138,1.8545,20.00,1.8757,0.0212
16,Austria,AUT,3510109754,1.6652,20.00,1.6843,0.0190
17,South Korea,KOR,3008433491,1.4272,26.00,1.2903,-0.1369
18,Denmark,DNK,2732053883,1.2961,20.00,1.3109,0.0148
19,Sweden,SWE,2253245414,1.0690,20.00,1.0812,0.0122
20,Spain,ESP,2019499567,0.9581,20.00,0.9690,0.0110
21,Portugal,PRT,1732590478,0.8220,20.00,0.8314,0.0094
22,Israel,ISR,1669377178,0.7920,17.00,0.8491,0.0571
23,Australia,AUS,1341703410,0.6365,10.00,0.7864,0.1499
24,Finland,FIN,990052470,0.4697,20.00,0.4751,0.0054
25,Mexico,MEX,713574066,0.3385,17.00,0.3629,0.0244
26,Taiwan,,371917654,0.1764,,,
27,Croatia,HRV,311685390,0.1479,20.00,0.1496,0.0017
28,Iceland,ISL,288489330,0.1369,10.00,0.1691,0.0322
29,Czechia (Czech Republic),CZE,208030251,0.0987,20.00,0.0998,0.0011
30,Romania,ROU,131526866,0.0624,20.00,0.0631,0.0007
31,Malaysia,MYS,98693067,0.0468,24.00,0.0439,-0.0029
32,Brazil,BRA,92080342,0.0437,10.00,0.0540,0.0103
33,Jordan,JOR,78650903,0.0373,20.00,0.0377,0.0004
34,Turkey,TUR,60917243,0.0289,10.00,0.0357,0.0068
35,Greece,GRC,52790322,0.0250,20.00,0.0253,0.0003
36,New Zealand,NZL,51073639,0.0242,10.00,0.0299,0.0057
37,Lithuania,LTU,45114468,0.0214,20.00,0.0216,0.0002
38,Poland,POL,30914435,0.0147,20.00,0.0148,0.0002
39,Bangladesh,BGD,20562984,0.0098,37.00,0.0073,-0.0025
40,Thailand,THA,18779358,0.0089,37.00,0.0066,-0.0023
41,El Salvador,SLV,12604640,0.0060,10.00,0.0074,0.0014
42,South Africa,ZAF,11882108,0.0056,31.00,0.0047,-0.0010
43,Hong Kong,HKG,8608048,0.0041,10.00,0.0050,0.0010
44,Bulgaria,BGR,7095067,0.0034,20.00,0.0034,0.0000
45,Malta,MLT,7094627,0.0034,20.00,0.0034,0.0000
46,Argentina,ARG,7016877,0.0033,10.00,0.0041,0.0008
47,Macau,MAC,5160545,0.0024,10.00,0.0030,0.0006
48,Vietnam,VNM,3851806,0.0018,46.00,0.0012,-0.0007
49,Nicaragua,NIC,2906300,0.0014,19.00,0.0014,0.0000
50,Costa Rica,CRI,2822533,0.0013,10.00,0.0017,0.0003
51,Colombia,COL,2741651,0.0013,10.00,0.0016,0.0003
52,Cambodia,KHM,2728637,0.0013,49.00,0.0008,-0.0005
53,United Arab Emirates,ARE,2182042,0.0010,10.00,0.0013,0.0002
54,Mauritius,MUS,1765796,0.0008,40.00,0.0006,-0.0002
55,Norway,NOR,1348821,0.0006,16.00,0.0007,0.0001
56,Panama,PAN,1329400,0.0006,10.00,0.0008,0.0001
57,Guatemala,GTM,1189667,0.0006,10.00,0.0007,0.0001
58,Honduras,HND,1161329,0.0006,10.00,0.0007,0.0001
59,Uruguay,URY,1111567,0.0005,10.00,0.0007,0.0001
60,Russia,RUS,831103,0.0004,0.00,0.0006,0.0002
61,Chile,CHL,674944,0.0003,10.00,0.0004,0.0001
62,Dominican Republic,DOM,491817,0.0002,10.00,0.0003,0.0001
63,Slovakia,SVK,446990,0.0002,20.00,0.0002,0.0000
64,Ukraine,UKR,442593,0.0002,10.00,0.0003,0.0000
65,Pakistan,PAK,313763,0.0001,30.00,0.0001,-0.0000
66,Estonia,EST,296093,0.0001,20.00,0.0001,0.0000
67,Cameroon,CMR,287649,0.0001,12.00,0.0002,0.0000
68,Cyprus,CYP,260015,0.0001,20.00,0.0001,0.0000
69,Saudi Arabia,SAU,231486,0.0001,10.00,0.0001,0.0000
70,Ghana,GHA,231168,0.0001,10.00,0.0001,0.0000
71,Egypt,EGY,223246,0.0001,10.00,0.0001,0.0000
72,Kenya,KEN,167189,0.0001,10.00,0.0001,0.0000
73,Uganda,UGA,149906,0.0001,10.00,0.0001,0.0000
74,Nepal,NPL,149467,0.0001,10.00,0.0001,0.0000
75,Oman,OMN,117033,0.0001,10.00,0.0001,0.0000
76,Georgia,GEO,103765,0.0000,10.00,0.0001,0.0000
77,Peru,PER,71786,0.0000,10.00,0.0000,0.0000
78,Nigeria,NGA,64297,0.0000,14.00,0.0000,0.0000
79,Comoros,COM,61962,0.0000,10.00,0.0000,0.0000
80,Latvia,LVA,39308,0.0000,20.00,0.0000,0.0000
81,Indonesia,IDN,36240,0.0000,32.00,0.0000,-0.0000
82,Ecuador,ECU,34881,0.0000,10.00,0.0000,0.0000
83,Niger,NER,20846,0.0000,10.00,0.0000,0.0000
84,Qatar,QAT,20004,0.0000,10.00,0.0000,0.0000
85,New Caledonia,NCL,19260,0.0000,10.00,0.0000,0.0000
86,Tunisia,TUN,9895,0.0000,28.00,0.0000,-0.0000
87,Lebanon,LBN,9842,0.0000,10.00,0.0000,0.0000
88,Jamaica,JAM,7730,0.0000,10.00,0.0000,0.0000
89,Luxembourg,LUX,6625,0.0000,20.00,0.0000,0.0000
90,Myanmar (Burma),,5593,0.0000,,,
91,Uzbekistan,UZB,4800,0.0000,10.00,0.0000,0.0000
92,Saint Lucia,LCA,4721,0.0000,10.00,0.0000,0.0000
93,Rwanda,RWA,4600,0.0000,10.00,0.0000,0.0000
94,Senegal,SEN,2300,0.0000,10.00,0.0000,0.0000
95,Philippines,PHL,2279,0.0000,18.00,0.0000,0.0000
96,Morocco,MAR,2080,0.0000,10.00,0.0000,0.0000
97,Trinidad and Tobago,TTO,0,0.0000,10.00,0.0000,0.0000
